,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,accessom2.nml -> date_manager_nml -> forcing_end_date,ice/cice_in.nml -> icefields_nml -> f_aicen,ice/cice_in.nml -> icefields_nml -> f_vicen,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
,10,1960-07-01T00:00:00,1960-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output010,79.136,,,Andrew Kiss,2020-06-11T11:45:01,6816319,3,"[6811014, 6816251, 6816291]",normal,35141.76,3.3894444444444445,139516.60695652175,13.456462862318842,6.689722222222223,83677.77494832575,0.5997692803294927,3696.6399999996647,5184,4358,799,0.075,946.068421,3619.81,916.23,"[80, 75]",sectrobin,40,30,450,80,2,1ff9233d13e401acc9707ca83a086935ddc27186,2020-06-11 11:10:27 +1000,manifests/restart.yaml,"['2020-06-11 01:41:01: Run 10', 'reduce timestep from 540 to 450s to (hopefully) avoid remap transport: bad departure points error on 1960-09-13T21:00:00.000', 'increase timestep from 450 to 540s']",450,2018-01-01T00:00:00,m,m,64800,True,continue
,11,1960-10-01T00:00:00,1961-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output011,79.652,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/restart011,43.569,Andrew Kiss,2020-06-11T14:38:22,6821689,0,[],normal,29911.68,2.885,118752.62086956523,11.453763586956521,0.004166666666666874,248473.14219786559,2.0923592286083688,3737.5999999996275,5184,4358,799,0.091,967.396737,3077.83,950.92,"[80, 75]",sectrobin,40,30,540,80,2,d9f92621c96b2887939e2b37908b274cc8a5a7a5,2020-06-11 11:45:54 +1000,manifests/restart.yaml,['2020-06-11 11:45:54: Run 11'],540,2018-01-01T00:00:00,m,m,71280,True,continue
,12,1961-01-01T00:00:00,1961-04-01T00:00:00,"[0, 3, 0, 0]",90.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output012,78.893,,,Andrew Kiss,2020-06-11T17:28:32,6829467,0,[],normal,29361.6,2.8319444444444444,119159.16,11.492974537037037,0.004166666666666874,248466.4289911851,2.085164321326074,3676.160000000149,5184,4358,799,0.088,916.9637,3105.49,904.12,"[80, 75]",sectrobin,40,30,540,80,2,7355a12bfb82484f968ccad23abe0929596bba80,2020-06-11 14:39:02 +1000,manifests/restart.yaml,['2020-06-11 14:39:02: Run 12'],540,2018-01-01T00:00:00,m,m,77760,True,continue
,13,1961-04-01T00:00:00,1961-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output013,79.121,,,Andrew Kiss,2020-06-11T20:19:13,6833138,0,[],normal,29410.56,2.8366666666666664,118046.23120879121,11.385631868131867,0.008055555555555927,248127.3688116395,2.1019507888631415,3686.4000000003725,5184,4358,799,0.087,911.84396,2993.96,898.37,"[80, 75]",sectrobin,40,30,540,80,2,5a87712953298835abd64243ba72531bec11b42a,2020-06-11 17:29:25 +1000,manifests/restart.yaml,['2020-06-11 17:29:25: Run 13'],540,2018-01-01T00:00:00,m,m,84240,True,continue
,14,1961-07-01T00:00:00,1961-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output014,79.348,,,Andrew Kiss,2020-06-12T04:21:43,6839876,0,[],normal,30009.6,2.8944444444444444,119141.37391304348,11.491259057971016,5.147222222222222,89562.32953367876,0.7517315487653073,3737.5999999996275,5184,4358,799,0.086,916.942866,3171.71,900.45,"[80, 75]",sectrobin,40,30,540,80,2,92b859a4dc21d7d30db82fddcc41a596393f3bbe,2020-06-12 01:28:37 +1000,manifests/restart.yaml,['2020-06-12 01:28:37: Run 14'],540,2018-01-01T00:00:00,m,m,90720,True,continue
,15,1961-10-01T00:00:00,1962-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output015,79.792,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/restart015,43.615,Andrew Kiss,2020-06-12T07:14:20,6859323,0,[],normal,29770.56,2.8713888888888888,118192.3591304348,11.399725996376812,0.005555555555555536,248351.49019986484,2.1012482704215163,3655.679999999702,5184,4358,799,0.089,947.780712,3040.96,931.98,"[80, 75]",sectrobin,40,30,540,80,2,6354bb0e414ac869a3895e3582a9667923361620,2020-06-12 04:22:24 +1000,manifests/restart.yaml,['2020-06-12 04:22:24: Run 15'],540,2018-01-01T00:00:00,m,m,97200,True,continue
,16,1962-01-01T00:00:00,1962-04-01T00:00:00,"[0, 3, 0, 0]",90.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output016,78.965,,,Andrew Kiss,2020-06-12T10:03:13,6862669,0,[],normal,29162.88,2.812777777777778,118352.68800000001,11.415189814814816,0.0019444444444443043,248660.1038192046,2.101009347748862,3717.1200000001118,5184,4358,799,0.09,929.138557,3115.02,914.65,"[80, 75]",sectrobin,40,30,540,80,2,d5194a722689e91b78cdd5fd9bde8e63f03c395f,2020-06-12 07:14:53 +1000,manifests/restart.yaml,['2020-06-12 07:14:53: Run 16'],540,2018-01-01T00:00:00,m,m,103680,True,continue
,17,1962-04-01T00:00:00,1962-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output017,79.08,,,Andrew Kiss,2020-06-12T12:51:07,6867550,0,[],normal,28975.68,2.794722222222222,116300.73758241758,11.217277930402929,0.0036111111111112315,248510.89458010718,2.1367955160559293,3737.5999999996275,5184,4358,799,0.088,905.709356,2778.85,886.67,"[80, 75]",sectrobin,40,30,540,80,2,0f43a630ccb315495fe3fada99dd22a113177a68,2020-06-12 10:03:50 +1000,manifests/restart.yaml,['2020-06-12 10:03:50: Run 17'],540,2018-01-01T00:00:00,m,m,110160,True,continue
,18,1962-07-01T00:00:00,1962-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output018,79.381,,,Andrew Kiss,2020-06-12T15:41:40,6873813,0,[],normal,29427.84,2.8383333333333334,116831.72347826089,11.268491847826088,0.00416666666666643,248467.2506596306,2.1267104795031413,3737.5999999996275,5184,4358,799,0.089,933.84708,2958.52,915.21,"[80, 75]",sectrobin,40,30,540,80,2,5d5c9332e98e6382bca5f83ee0e6fe3b779aa355,2020-06-12 12:51:50 +1000,manifests/restart.yaml,['2020-06-12 12:51:50: Run 18'],540,2018-01-01T00:00:00,m,m,116640,True,continue
,19,1962-10-01T00:00:00,1963-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output019,79.851,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/restart019,43.613,Andrew Kiss,2020-06-12T18:31:21,6882755,0,[],normal,29266.56,2.8227777777777776,116191.4243478261,11.206734601449275,0.005277777777778159,248367.62439838913,2.1375727666001025,3686.4000000003725,5184,4358,799,0.092,955.008589,2918.31,936.46,"[80, 75]",sectrobin,40,30,540,80,2,b9f81bf334ca1424d7365435d20c31147cfe8a33,2020-06-12 18:00:39 +1000,"manifests/restart.yaml, ocean/diag_table, ocean/diag_table_source.yaml","['2020-06-12 15:42:23: Run 19', 'add diag_table fields for data assimilation']",540,2018-01-01T00:00:00,m,m,123120,True,continue
,20,1963-01-01T00:00:00,1963-04-01T00:00:00,"[0, 3, 0, 0]",90.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output020,79.078,,,Andrew Kiss,2020-06-12T23:31:11,6890112,0,[],normal,30349.44,2.9272222222222224,123168.144,11.87964351851852,2.0699999999999994,145758.2888271262,1.1834089894796676,3624.9599999999627,5184,4358,799,0.086,921.661758,3008.94,903.95,"[80, 75]",sectrobin,40,30,540,80,2,0f0c9adc338a6d78bf3404981eb0d421cd8a4907,2020-06-12 20:58:45 +1000,"manifests/restart.yaml, ocean/diag_table, ocean/diag_table_source.yaml","['remove calving diagnostics', '2020-06-12 20:36:10: Run 20', 'fix diag_table temp field for data assimilation']",540,2018-01-01T00:00:00,m,m,129600,True,continue
