,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,accessom2.nml -> date_manager_nml -> forcing_end_date,ice/cice_in.nml -> icefields_nml -> f_aicen,ice/cice_in.nml -> icefields_nml -> f_vicen,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
,31,1965-10-01T00:00:00,1966-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output031,79.945,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/restart031,43.692,Andrew Kiss,2020-06-14T07:03:24,6930967,0,[],normal,29937.6,2.8875,118855.52608695652,11.463688858695654,0.0033333333333329662,248545.07927356585,2.0911529102292348,3584.0,5184,4358,799,0.09,958.427949,2998.58,944.37,"[80, 75]",sectrobin,40,30,540,80,2,7973b3e60f2bb2eed85ed73e721d420c6475badc,2020-06-14 04:10:30 +1000,manifests/restart.yaml,['2020-06-14 04:10:30: Run 31'],540,2018-01-01T00:00:00,m,m,200880,True,continue
,32,1966-01-01T00:00:00,1966-04-01T00:00:00,"[0, 3, 0, 0]",90.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output032,79.055,,,Andrew Kiss,2020-06-14T09:52:54,6933875,0,[],normal,29269.44,2.8230555555555554,118785.144,11.456900462962963,0.0019444444444447484,248660.72920353978,2.09336555759481,3624.9599999999627,5184,4358,799,0.09,933.010382,3157.86,917.4,"[80, 75]",sectrobin,40,30,540,80,2,8b324b7f94e98f888c921b5e8439052d4428c9ca,2020-06-14 07:03:58 +1000,manifests/restart.yaml,['2020-06-14 07:03:58: Run 32'],540,2018-01-01T00:00:00,m,m,207360,True,continue
,33,1966-04-01T00:00:00,1966-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output033,79.162,,,Andrew Kiss,2020-06-14T12:44:04,6941305,0,[],normal,29543.04,2.8494444444444444,118577.97098901098,11.436918498168497,0.0033333333333334103,248541.2518013632,2.0960153874145506,3645.44000000041,5184,4358,799,0.089,935.582143,3124.02,925.36,"[80, 75]",sectrobin,40,30,540,80,2,b6927e8cdcce4e9caf09b190463a9530d91f54ba,2020-06-14 11:22:08 +1000,".gitignore, config.yaml, manifests/restart.yaml","['2020-06-14 09:53:31: Run 33', 'improve .gitignore and switch to e14']",540,2018-01-01T00:00:00,m,m,213840,True,continue
,34,1966-07-01T00:00:00,1966-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output034,79.477,,,Andrew Kiss,2020-06-14T23:28:11,6952631,1,[6944527],normal,29998.08,2.8933333333333335,119095.63826086959,11.486847826086958,7.841944444444445,67064.30284368774,0.5631130058414792,3645.44000000041,5184,4358,799,0.087,922.959672,3106.52,906.32,"[80, 75]",sectrobin,40,30,540,80,2,ae8404df99a96754ae9988b17a1c5cd91649e9f5,2020-06-14 20:35:03 +1000,".gitignore, config.yaml, manifests/restart.yaml, sync_data.sh, tidy_restarts.py","['2020-06-14 12:44:41: Run 34', 'improve .gitignore', 'set shortpath=/scratch/x77 in config.yaml', 'improve help in tidy_restarts.py', 'do git pull --no-rebase in sync_data.sh', '2020-06-14 20:35:03: Run 34']",540,2018-01-01T00:00:00,m,m,220320,True,continue
,35,1966-10-01T00:00:00,1967-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output035,79.964,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/restart035,43.666,Andrew Kiss,2020-06-15T02:22:07,6961936,0,[],normal,30015.36,2.895,119164.24173913045,11.493464673913044,0.0038888888888890527,248498.18934457644,2.085341925714416,3635.2000000001863,5184,4358,799,0.091,968.323267,3074.49,954.52,"[80, 75]",sectrobin,40,30,540,80,2,b3f0aab2ef21a3823bb854a7c9a2cfc5872b561f,2020-06-14 23:28:47 +1000,manifests/restart.yaml,['2020-06-14 23:28:47: Run 35'],540,2018-01-01T00:00:00,m,m,226800,True,continue
,36,1967-01-01T00:00:00,1967-04-01T00:00:00,"[0, 3, 0, 0]",90.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output036,79.141,,,Andrew Kiss,2020-06-15T05:11:15,6964613,0,[],normal,29183.04,2.814722222222222,118434.50400000002,11.423081018518518,0.004166666666666874,248464.19550650375,2.0979037958946805,3614.7199999997392,5184,4358,799,0.089,926.909284,3068.45,915.08,"[80, 75]",sectrobin,40,30,540,80,2,50673c43b67edc3ec80df9658b585f8c12168cc5,2020-06-15 02:22:42 +1000,manifests/restart.yaml,['2020-06-15 02:22:42: Run 36'],540,2018-01-01T00:00:00,m,m,233280,True,continue
,37,1967-04-01T00:00:00,1967-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output037,79.232,,,Andrew Kiss,2020-06-15T08:01:52,6967037,0,[],normal,29436.48,2.839166666666667,118150.26725274725,11.395666208791209,0.004444444444444251,248443.08606036924,2.102772104009713,3563.519999999553,5184,4358,799,0.09,938.201054,3021.23,924.94,"[80, 75]",sectrobin,40,30,540,80,2,2dde292fd6876c6da2369d4cae62b510b5f1bbba,2020-06-15 05:11:50 +1000,manifests/restart.yaml,['2020-06-15 05:11:50: Run 37'],540,2018-01-01T00:00:00,m,m,239760,True,continue
,38,1967-07-01T00:00:00,1967-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output038,79.459,,,Andrew Kiss,2020-06-15T10:56:29,6969315,0,[],normal,30156.48,2.908611111111111,119724.50347826089,11.547502264492755,0.0016666666666669272,248689.49813878015,2.077181286318187,3635.2000000001863,5184,4358,799,0.088,940.330811,3103.55,928.43,"[80, 75]",sectrobin,40,30,540,80,2,b906de3913971e56a064f082b9a2e9debdd47034,2020-06-15 08:20:43 +1000,"manifests/restart.yaml, sync_data.sh","['2020-06-15 08:02:25: Run 38', 'set PBS storage flag to include scratch/x77 in sync_data.sh']",540,2018-01-01T00:00:00,m,m,246240,True,continue
,39,1967-10-01T00:00:00,1968-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output039,80.046,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/restart039,43.707,Andrew Kiss,2020-06-15T13:50:49,6972780,0,[],normal,30101.76,2.9033333333333333,119507.25913043479,11.526548913043479,0.0022222222222221255,248641.68871892925,2.0805572023666965,3624.9599999999627,5184,4358,799,0.089,959.096573,3056.16,948.68,"[80, 75]",sectrobin,40,30,540,80,2,2c2f1bea42e8947231469b92e63a25104d137cba,2020-06-15 10:57:09 +1000,manifests/restart.yaml,['2020-06-15 10:57:09: Run 39'],540,2018-01-01T00:00:00,m,m,252720,True,continue
,40,1968-01-01T00:00:00,1968-04-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output040,79.457,,,Andrew Kiss,2020-06-15T16:41:55,6980394,0,[],normal,29528.64,2.8480555555555553,118520.17318681318,11.431343864468863,0.0036111111111112315,248516.90005844538,2.0968320698175953,3614.7199999997392,5184,4358,799,0.089,933.996449,3131.51,923.74,"[80, 75]",sectrobin,40,30,540,80,2,232034187531b138f4adfb9ed8e9c334f649f852,2020-06-15 13:51:26 +1000,manifests/restart.yaml,['2020-06-15 13:51:26: Run 40'],540,2018-01-01T00:00:00,m,m,259200,True,continue
,41,1968-04-01T00:00:00,1968-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output041,79.298,,,Andrew Kiss,2020-06-15T19:33:49,6995600,0,[],normal,29577.6,2.852777777777778,118716.6857142857,11.45029761904762,0.012222222222222356,247770.47120418848,2.087073689038921,3624.9599999999627,5184,4358,799,0.088,922.47353,3039.17,908.28,"[80, 75]",sectrobin,40,30,540,80,2,100f1330c64a2bbad11b990cb15f15edb1340b9e,2020-06-15 16:43:03 +1000,manifests/restart.yaml,['2020-06-15 16:43:03: Run 41'],540,2018-01-01T00:00:00,m,m,265680,True,continue
,42,1968-07-01T00:00:00,1968-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output042,79.484,,,Andrew Kiss,2020-06-15T22:26:35,7025634,0,[],normal,29808.0,2.875,118341.00000000001,11.414062500000002,0.004444444444444251,248447.92591163417,2.0994239182669925,3614.7199999997392,5184,4358,799,0.089,945.017891,3004.88,930.24,"[80, 75]",sectrobin,40,30,540,80,2,4313f4944ef4b2f575c593998cb4c50091c866c1,2020-06-15 19:34:26 +1000,manifests/restart.yaml,['2020-06-15 19:34:26: Run 42'],540,2018-01-01T00:00:00,m,m,272160,True,continue
,43,1968-10-01T00:00:00,1969-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output043,79.967,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/restart043,43.695,Andrew Kiss,2020-06-16T01:19:27,7029915,0,[],normal,29819.52,2.8761111111111113,118386.73565217393,11.41847373188406,0.004999999999999893,248400.16660239105,2.0982094424176285,3584.0,5184,4358,799,0.092,970.498295,3001.87,956.88,"[80, 75]",sectrobin,40,30,540,80,2,f0b505acc51934b7edacfdd3d0ff8db48d9885d6,2020-06-15 22:27:16 +1000,manifests/restart.yaml,['2020-06-15 22:27:16: Run 43'],540,2018-01-01T00:00:00,m,m,278640,True,continue
,44,1969-01-01T00:00:00,1969-04-01T00:00:00,"[0, 3, 0, 0]",90.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output044,79.118,,,Andrew Kiss,2020-06-16T04:07:20,7032683,0,[],normal,28972.8,2.7944444444444443,117581.28,11.340787037037037,0.0036111111111112315,248510.86270227339,2.113524046534222,3614.7199999997392,5184,4358,799,0.087,900.377824,3093.13,882.01,"[80, 75]",sectrobin,40,30,540,80,2,fe74e07ea10fee04689e35e36847259d395bc24f,2020-06-16 01:20:04 +1000,manifests/restart.yaml,['2020-06-16 01:20:04: Run 44'],540,2018-01-01T00:00:00,m,m,285120,True,continue
,45,1969-04-01T00:00:00,1969-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output045,79.19,,,Andrew Kiss,2020-06-16T06:57:44,7033982,0,[],normal,29407.68,2.836388888888889,118034.67164835165,11.384516941391942,0.0036111111111107874,248515.60563380283,2.1054458165832783,3573.7599999997765,5184,4358,799,0.089,934.466481,3003.64,917.87,"[80, 75]",sectrobin,40,30,540,80,2,f0e6ccef84a640c309a2ff251b3ce6795c87d59f,2020-06-16 04:07:56 +1000,manifests/restart.yaml,['2020-06-16 04:07:56: Run 45'],540,2018-01-01T00:00:00,m,m,291600,True,continue
,46,1969-07-01T00:00:00,1969-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output046,79.575,,,Andrew Kiss,2020-06-16T09:50:33,7034668,0,[],normal,29839.68,2.8780555555555556,118466.77304347827,11.426193387681161,0.0022222222222221255,248640.01851673255,2.098816504653838,3614.7199999997392,5184,4358,799,0.087,927.319848,3113.24,909.6,"[80, 75]",sectrobin,40,30,540,80,2,b587a2e9ffd91d583994a6a099e281fe8f7a4f88,2020-06-16 06:58:18 +1000,manifests/restart.yaml,['2020-06-16 06:58:18: Run 46'],540,2018-01-01T00:00:00,m,m,298080,True,continue
,47,1969-10-01T00:00:00,1970-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output047,80.003,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/restart047,55.62,Andrew Kiss,2020-06-16T12:43:51,7036682,0,[],normal,29917.44,2.8855555555555554,118775.48869565218,11.455969202898551,0.002777777777777768,248592.69244085404,2.0929629098630165,3624.9599999999627,5184,4358,799,0.092,980.502245,2959.32,968.99,"[80, 75]",sectrobin,40,30,540,80,2,488af608691ea0e93a177a0409dfa052df2dfcf5,2020-06-16 09:51:08 +1000,manifests/restart.yaml,['2020-06-16 09:51:07: Run 47'],540,2018-01-01T00:00:00,m,m,304560,True,continue
,48,1970-01-01T00:00:00,1970-04-01T00:00:00,"[0, 3, 0, 0]",90.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output048,79.164,,,Andrew Kiss,2020-06-16T15:38:13,7043745,0,[],normal,30070.08,2.9002777777777777,122034.40800000001,11.770293981481482,0.005833333333333357,248332.52838845347,2.03493860836735,3614.7199999997392,5184,4358,799,0.085,912.043997,3355.36,895.63,"[80, 75]",sectrobin,40,30,540,80,2,2d4ebb48f9bcdcb38334d5cb8fce15021e14d63b,2020-06-16 12:44:29 +1000,manifests/restart.yaml,['2020-06-16 12:44:29: Run 48'],540,2018-01-01T00:00:00,m,m,311040,True,continue
,49,1970-04-01T00:00:00,1970-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output049,79.212,,,Andrew Kiss,2020-06-16T18:36:48,7056064,0,[],normal,30795.84,2.9702777777777776,123606.37978021978,11.921911630036629,0.006111111111111178,248321.09902006536,2.0089666849041,3573.7599999997765,5184,4358,799,0.084,916.131471,3448.92,899.4,"[80, 75]",sectrobin,40,30,540,80,2,5353ff4db3e2dd03bbea3084607a78339b4dd3b1,2020-06-16 15:39:05 +1000,manifests/restart.yaml,['2020-06-16 15:39:05: Run 49'],540,2018-01-01T00:00:00,m,m,317520,True,continue
,50,1970-07-01T00:00:00,1970-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output050,79.481,,,Andrew Kiss,2020-06-16T21:31:18,7076650,0,[],normal,29790.72,2.8733333333333335,118272.39652173915,11.407445652173914,0.0349999999999997,245837.46017191978,2.0785700417149613,3368.9599999999627,5184,4358,799,0.086,915.120523,3046.42,905.29,"[80, 75]",sectrobin,40,30,540,80,2,f92d3fe26bd0e9da67a5146210a507db14642eb2,2020-06-16 18:39:18 +1000,manifests/restart.yaml,['2020-06-16 18:39:18: Run 50'],540,2018-01-01T00:00:00,m,m,324000,True,continue
,51,1970-10-01T00:00:00,1971-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output051,79.969,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/restart051,43.708,Andrew Kiss,2020-06-17T00:31:25,7091409,0,[],normal,31101.12,2.999722222222222,123474.82695652175,11.909223278985507,0.0022222222222221255,248647.79938928474,2.0137529690714953,3584.0,5184,4358,799,0.093,1027.507299,3354.79,1017.22,"[80, 75]",sectrobin,40,30,540,80,2,ad429343370df86f4d4b8778ec2579f183efb4c3,2020-06-16 21:31:52 +1000,manifests/restart.yaml,['2020-06-16 21:31:51: Run 51'],540,2018-01-01T00:00:00,m,m,330480,True,continue
,52,1971-01-01T00:00:00,1971-04-01T00:00:00,"[0, 3, 0, 0]",90.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output052,79.072,,,Andrew Kiss,2020-06-17T04:14:36,7103931,0,[],normal,29525.76,2.847777777777778,119825.376,11.557231481481482,0.8719444444444444,190502.9993279068,1.589838527424331,3614.7199999997392,5184,4358,799,0.096,1008.039314,3085.76,992.18,"[80, 75]",sectrobin,40,30,540,80,2,b071d4d02eebcae24719430215637abf9efeec25,2020-06-17 01:24:22 +1000,manifests/restart.yaml,['2020-06-17 01:24:21: Run 52'],540,2018-01-01T00:00:00,m,m,336960,True,continue
,53,1971-04-01T00:00:00,1971-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output053,79.202,,,Andrew Kiss,2020-06-17T08:57:47,7108640,0,[],normal,48902.4,4.716666666666667,196281.33626373627,18.931456043956043,0.003055555555555145,248670.90577364492,1.2669106014211897,3491.839999999851,5184,4358,799,0.049,859.355323,9767.08,890.8,"[80, 75]",sectrobin,40,30,540,80,2,24b0e95cf7e0e4e6da7b01b9e3e8abbd24272491,2020-06-17 04:15:15 +1000,manifests/restart.yaml,['2020-06-17 04:15:15: Run 53'],540,2018-01-01T00:00:00,m,m,343440,True,continue
,54,1971-07-01T00:00:00,1971-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output054,79.445,,,Andrew Kiss,2020-06-17T11:51:25,7113494,0,[],normal,29983.68,2.8919444444444444,119038.46869565219,11.481333786231884,0.0019444444444443043,248664.80629679404,2.088944935376814,3604.480000000447,5184,4358,799,0.085,913.021864,3145.15,896.25,"[80, 75]",sectrobin,40,30,540,80,2,f8b4a03bf402c3455d1b5beca965b2cad47bf6af,2020-06-17 08:58:19 +1000,manifests/restart.yaml,['2020-06-17 08:58:19: Run 54'],540,2018-01-01T00:00:00,m,m,349920,True,continue
,55,1971-10-01T00:00:00,1972-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output055,80.011,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/restart055,43.717,Andrew Kiss,2020-06-17T15:06:12,7119966,0,[],normal,33629.76,3.243611111111111,133513.80260869567,12.877488677536233,0.002777777777777768,248619.08650637465,1.8621227292509321,3624.9599999999627,5184,4358,799,0.096,1055.331704,3067.35,1065.78,"[80, 75]",sectrobin,40,30,540,80,2,a94ddab4c68d70e627ef157c92cb5c5d89d870de,2020-06-17 11:52:06 +1000,manifests/restart.yaml,['2020-06-17 11:52:06: Run 55'],540,2018-01-01T00:00:00,m,m,356400,True,continue
,56,1972-01-01T00:00:00,1972-04-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output056,79.427,,,Andrew Kiss,2020-06-17T17:59:12,7134479,0,[],normal,29664.0,2.861111111111111,119063.47252747252,11.483745421245422,0.022222222222222143,246914.21965317923,2.0738032782993674,3594.2400000002235,5184,4358,799,0.091,959.672599,3163.92,946.62,"[80, 75]",sectrobin,40,30,540,80,2,92a50ca3676ea194bb80227d5e2160f996aa6f86,2020-06-17 15:08:04 +1000,manifests/restart.yaml,['2020-06-17 15:08:04: Run 56'],540,2018-01-01T00:00:00,m,m,362880,True,continue
,57,1972-04-01T00:00:00,1972-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output057,79.308,,,Andrew Kiss,2020-06-17T20:50:42,7141913,0,[],normal,29597.76,2.854722222222222,118797.60263736262,11.458102106227106,0.0036111111111112315,248517.63498542272,2.091941499392365,3573.7599999997765,5184,4358,799,0.09,943.31753,3126.08,928.87,"[80, 75]",sectrobin,40,30,540,80,2,6a7e58d9b89697137483b64f3ef63b14d3f6cb5c,2020-06-17 17:59:48 +1000,manifests/restart.yaml,['2020-06-17 17:59:48: Run 57'],540,2018-01-01T00:00:00,m,m,369360,True,continue
,58,1972-07-01T00:00:00,1972-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output058,79.432,,,Andrew Kiss,2020-06-17T23:46:30,7163634,0,[],normal,30323.52,2.924722222222222,120387.67043478262,11.611465126811595,0.005277777777778159,248383.78156996582,2.0631995010196853,3594.2400000002235,5184,4358,799,0.088,945.434285,3101.43,928.71,"[80, 75]",sectrobin,40,30,540,80,2,782e1943be0bd49bbe41d11e80d9b733bbf94328,2020-06-17 20:51:21 +1000,manifests/restart.yaml,['2020-06-17 20:51:21: Run 58'],540,2018-01-01T00:00:00,m,m,375840,True,continue
,59,1972-10-01T00:00:00,1973-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output059,79.92,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/restart059,43.682,Andrew Kiss,2020-06-18T10:14:58,7217251,1,[7187716],normal,29983.68,2.8919444444444444,119038.46869565219,11.481333786231884,7.5825,68701.33531346134,0.5771355769798356,3614.7199999997392,5184,4358,799,0.088,941.72912,3058.03,927.7,"[80, 75]",sectrobin,40,30,540,80,2,da2f7d7af4394976bc0d4f09a5af5b90948f344f,2020-06-18 08:32:52 +1000,"manifests/restart.yaml, nmltab.py, resub.sh, run_summary.py, sync_data.sh","['2020-06-17 23:47:16: Run 59', '2020-06-18 07:22:02: Run 59', 'update and sync run_summary with sync_data.sh', 'fix bug in sync_data.sh']",540,2018-01-01T00:00:00,m,m,382320,True,continue
,60,1973-01-01T00:00:00,1973-04-01T00:00:00,"[0, 3, 0, 0]",90.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output060,79.016,,,Andrew Kiss,2020-06-18T13:05:49,7244364,0,[],normal,29416.32,2.837222222222222,119381.232,11.514393518518519,0.010277777777778052,247933.86479367863,2.076824477684052,3594.2400000002235,5184,4358,799,0.091,946.738315,3190.91,930.93,"[80, 75]",sectrobin,40,30,540,80,2,766c11966faaae77c434df75d84b085ec3951653,2020-06-18 11:40:43 +1000,"config.yaml, manifests/restart.yaml","['2020-06-18 10:16:31: Run 60', 'switch to v45']",540,2018-01-01T00:00:00,m,m,388800,True,continue
,61,1973-04-01T00:00:00,1973-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output061,79.218,,,Andrew Kiss,2020-06-18T16:04:47,7253562,0,[],normal,29609.28,2.8558333333333334,118843.84087912086,11.462561813186813,0.1269444444444443,238241.92512572173,2.0046636271882505,3584.0,5184,4358,799,0.089,941.566429,3090.09,927.72,"[80, 75]",sectrobin,40,30,540,80,2,5340a58c0bac5354ca4c4dd222717b0dd20569fa,2020-06-18 13:13:56 +1000,manifests/restart.yaml,['2020-06-18 13:13:56: Run 61'],540,2018-01-01T00:00:00,m,m,395280,True,continue
,62,1973-07-01T00:00:00,1973-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output062,79.614,,,Andrew Kiss,2020-06-18T19:00:52,7291617,0,[],normal,30386.88,2.930833333333333,120639.21652173914,11.635726902173914,0.0038888888888890527,248502.26521533367,2.059879634335603,3614.7199999997392,5184,4358,799,0.087,934.267416,3153.95,918.18,"[80, 75]",sectrobin,40,30,540,80,2,423f1e5fa65d268cc40b89a245d79043d7272c2e,2020-06-18 18:23:12 +1000,"manifests/restart.yaml, run_summary_home_156_aek156_payu_01deg_jra55v140_iaf.csv","['2020-06-18 16:05:35: Run 62', 'update run summary']",540,2018-01-01T00:00:00,m,m,401760,True,continue
,63,1973-10-01T00:00:00,1974-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output063,80.096,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/restart063,43.736,Andrew Kiss,2020-06-18T21:56:49,7325767,0,[],normal,30274.56,2.92,120193.2939130435,11.59271739130435,0.012500000000000178,247771.33503836318,2.0614405926641703,3604.480000000447,5184,4358,799,0.09,964.011814,3048.48,952.18,"[80, 75]",sectrobin,40,30,540,80,2,93a6eea83790ec305dc7bcd3d1691a312941739e,2020-06-18 19:16:54 +1000,"manifests/restart.yaml, run_summary_home_156_aek156_payu_01deg_jra55v140_iaf.csv, sync_data.sh","['2020-06-18 19:02:06: Run 63', 'update run summary']",540,2018-01-01T00:00:00,m,m,408240,True,continue
,64,1974-01-01T00:00:00,1974-04-01T00:00:00,"[0, 3, 0, 0]",90.0,/home/156/aek156/payu/01deg_jra55v140_iaf,/g/data/ik11/outputs/access-om2-01/01deg_jra55v140_iaf/output064,79.142,,,Andrew Kiss,2020-06-19T00:50:47,7353823,0,[],normal,29393.28,2.835,119287.728,11.505375,0.0644444444444443,243301.34048668324,2.0396175245007875,3573.7599999997765,5184,4358,799,0.088,924.540222,3161.92,908.76,"[80, 75]",sectrobin,40,30,540,80,2,b77acc3e9b3d6905c1b805af3f8e4b6f91148761,2020-06-18 22:20:35 +1000,"manifests/restart.yaml, run_summary_home_156_aek156_payu_01deg_jra55v140_iaf.csv","['2020-06-18 22:01:13: Run 64', 'update run summary']",540,2018-01-01T00:00:00,m,m,414720,True,continue
