"Summary report generated by run_summary.py, https://github.com/aekiss/run_summary"
report generated:,2020-12-17T10:15:44+11:00
control directory path:,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,git branch:,01deg_jra55v140_iaf_cycle3
output path:,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3
,Job Id,Run completion date,Exit Status,Timeout,Walltime Requested (hr),Walltime Used (hr),qsub_flags,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Failed jobs,Failed jobids,Queue,Service Units,SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages
,13575182,2020-11-17T20:56:07,0,False,5.0,4.65,-W umask=027,493,1959-04-01T00:00:00,1959-07-01T00:00:00,,91.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output493,316.159,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart493,55.049,Andrew Kiss,,,normal,47318.4,,,,,,5335.040000000037,5088,,,0.143,2410.551954,7743.21,2377.61,"[80, 75]",sectrobin,40,30,,80,2,511905b5c69f7a1cd28ca5f0c46f2c1c83e5ea77,2020-11-17 16:28:57 +1100,,
,13579796,2020-11-18T01:39:54,0,False,5.0,4.713888888888889,-W umask=027,494,1959-07-01T00:00:00,1959-10-01T00:00:00,,92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output494,337.686,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart494,55.767,Andrew Kiss,,,normal,47968.53,,,,,,5335.040000000037,5088,,,0.122,2095.133387,8110.28,2063.31,"[80, 75]",sectrobin,40,30,,80,2,6a2cae57a14c28f21ac62bca5d8f7e99f00df8ed,2020-11-17 20:57:44 +1100,,
,13585312,2020-11-18T06:34:24,0,False,5.0,4.885,-W umask=027,495,1959-10-01T00:00:00,1960-01-01T00:00:00,,92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output495,362.354,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart495,56.363,Andrew Kiss,,,normal,49709.76,,,,,,5335.040000000037,5088,,,0.154,2723.063132,8064.52,2146.65,"[80, 75]",sectrobin,40,30,,80,2,e803e11de19387e9a84d59af89f08ab2c40ef944,2020-11-18 01:42:06 +1100,,
,13586876,2020-11-18T11:13:44,0,False,5.0,4.651111111111111,-W umask=027,496,1960-01-01T00:00:00,1960-04-01T00:00:00,,91.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output496,377.078,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart496,56.735,Andrew Kiss,,,normal,47329.71,,,,,,5324.799999999814,5088,,,0.122,2054.693802,8112.37,2021.15,"[80, 75]",sectrobin,40,30,,80,2,69ea64b45221a1a28695c0cc87a9014b30cfd342,2020-11-18 09:02:35 +1100,,
,13593720,2020-11-18T15:52:12,0,False,5.0,4.624444444444444,-W umask=027,497,1960-04-01T00:00:00,1960-07-01T00:00:00,,91.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output497,388.574,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart497,57.046,Andrew Kiss,,,normal,47058.35,,,,,,5355.519999999553,5088,,,0.12,2023.325713,8045.59,1991.57,"[80, 75]",sectrobin,40,30,,80,2,9226ba48c4ed34b8a079fe1ca82a31454408ec69,2020-11-18 11:15:31 +1100,,
,13605044,2020-11-18T20:36:58,0,False,5.0,4.726388888888889,-W umask=027,498,1960-07-01T00:00:00,1960-10-01T00:00:00,,92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output498,404.458,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart498,57.471,Andrew Kiss,,,normal,48095.73,,,,,,5294.0800000000745,5088,,,0.119,2048.292483,8175.91,2016.59,"[80, 75]",sectrobin,40,30,,80,2,b96101d5667cdcaca746c8d17328cd69bb60d2ea,2020-11-18 17:59:41 +1100,,
,13616966,2020-11-19T01:22:13,0,False,5.0,4.739166666666667,-W umask=027,499,1960-10-01T00:00:00,1961-01-01T00:00:00,,92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output499,425.252,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart499,57.87,Andrew Kiss,,,normal,48225.76,,,,,,5376.0,5088,,,0.122,2106.533782,8177.75,2075.36,"[80, 75]",sectrobin,40,30,,80,2,11852f6dc90da6c7b620396824b71a3730094f54,2020-11-18 20:38:29 +1100,,
,13624912,2020-11-19T05:59:55,0,False,5.0,4.626388888888889,-W umask=027,500,1961-01-01T00:00:00,1961-04-01T00:00:00,,90.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output500,429.672,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart500,58.15,Andrew Kiss,,,normal,47078.13,,,,,,5672.959999999963,5088,,,0.121,2034.140957,8138.26,2004.17,"[80, 75]",sectrobin,40,30,,80,2,356fdd0e79b9d87a66fb197a04a58b12cbe73b04,2020-11-19 01:23:10 +1100,,
,13630282,2020-11-19T10:40:23,0,False,5.0,4.668888888888889,-W umask=027,501,1961-04-01T00:00:00,1961-07-01T00:00:00,,91.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output501,441.466,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart501,58.32,Andrew Kiss,,,normal,47510.61,,,,,,5672.959999999963,5088,,,0.121,2052.197679,8141.15,2021.93,"[80, 75]",sectrobin,40,30,,80,2,43fdeae55a3b76f671e9c7f30c2f0e9ecdbb1bae,2020-11-19 06:01:11 +1100,,
,13635756,2020-11-19T15:33:34,0,False,5.0,4.880277777777778,-W umask=027,502,1961-07-01T00:00:00,1961-10-01T00:00:00,,92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle3,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/output502,454.025,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle3/restart502,58.448,Andrew Kiss,,,normal,49661.71,,,,,,5632.0,5088,,,0.131,2314.288469,8426.94,2296.12,"[80, 75]",sectrobin,40,30,,80,2,1b62a943561e7cdfc6b337a6afe291e337a60e0b,2020-11-19 11:46:09 +1100,,
