,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,ice/cice_in.nml -> icefields_mechred_nml -> f_dvirdgdt,ice/cice_in.nml -> icefields_nml -> f_daidtd,ice/cice_in.nml -> icefields_nml -> f_daidtt,ice/cice_in.nml -> icefields_nml -> f_fcondtop_ai,ice/cice_in.nml -> icefields_nml -> f_fresh,ice/cice_in.nml -> icefields_nml -> f_fsurf_ai,ice/cice_in.nml -> icefields_nml -> f_meltb,ice/cice_in.nml -> icefields_nml -> f_melts,ice/cice_in.nml -> icefields_nml -> f_meltt,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> use_restart_time
,254,1960-07-01T00:00:00,1960-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle2,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle2/output254,89.312,,,Andrew Kiss,2020-08-21T13:24:10,10312927,0,[],normal,29280.96,2.8241666666666667,116248.59391304349,11.212248641304349,0.0022222222222221255,248636.35813267814,2.1388332517695967,3717.1200000001118,5184,4358,799,0.092,957.879568,2947.22,947.4,"[80, 75]",sectrobin,40,30,540,80,2,278859432229e28a01e710278a30597fd61e7096,2020-08-21 10:35:10 +1000,"manifests/restart.yaml, run_summary_home_156_aek156_payu_01deg_jra55v140_iaf_cycle2.csv",['2020-08-21 10:35:10: Run 254'],540,x,m,m,x,x,x,x,x,x,1645920,True
,255,1960-10-01T00:00:00,1961-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle2,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle2/output255,89.803,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle2/restart255,43.545,Andrew Kiss,2020-08-21T16:12:38,10319190,0,[],normal,29076.48,2.8044444444444445,115436.78608695653,11.13394927536232,0.0033333333333334103,248536.5920063316,2.153010322195849,3686.4000000003725,5184,4358,799,0.094,970.998101,2900.12,953.81,"[80, 75]",sectrobin,40,30,540,80,2,e4f8c6fc65f9119d88ec62a0821f6ec7bc5c2ef9,2020-08-21 13:24:43 +1000,manifests/restart.yaml,['2020-08-21 13:24:43: Run 255'],540,x,m,m,x,x,x,x,x,x,1652400,True
,256,1961-01-01T00:00:00,1961-04-01T00:00:00,"[0, 3, 0, 0]",90.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle2,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle2/output256,89.076,,,Andrew Kiss,2020-08-21T18:56:46,10324205,0,[],normal,28321.92,2.7316666666666665,114939.792,11.086013888888889,0.0038888888888890527,248478.25832656375,2.1618123193277032,3655.679999999702,5184,4358,799,0.094,941.513792,2886.59,930.83,"[80, 75]",sectrobin,40,30,540,80,2,23d9b30a9d49ab93ae3e887993016fbfbba8bde6,2020-08-21 16:13:23 +1000,manifests/restart.yaml,['2020-08-21 16:13:23: Run 256'],540,x,m,m,x,x,x,x,x,x,1658880,True
,257,1961-04-01T00:00:00,1961-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle2,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle2/output257,89.299,,,Andrew Kiss,2020-08-21T21:43:44,10327583,0,[],normal,28831.68,2.7808333333333333,115722.75956043956,11.161531593406593,0.0019444444444443043,248658.13056498306,2.1487400707473983,3655.679999999702,5184,4358,799,0.096,985.304324,2824.63,973.56,"[80, 75]",sectrobin,40,30,540,80,2,95fab65c3ff1bde176fbb5cd19646f010083f7b1,2020-08-21 18:57:22 +1000,manifests/restart.yaml,['2020-08-21 18:57:21: Run 257'],540,x,m,m,x,x,x,x,x,x,1665360,True
,258,1961-07-01T00:00:00,1961-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle2,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle2/output258,89.543,,,Andrew Kiss,2020-08-22T01:19:31,10330634,0,[],normal,37232.64,3.591111111111111,147817.62782608697,14.257101449275364,0.005277777777777715,248466.83370665018,1.6809012386464546,3665.9199999999255,5184,4358,799,0.279,3598.841595,2943.91,958.16,"[80, 75]",sectrobin,40,30,540,80,2,d31898c0d9468e9d3cbf48d871a62577c65a6136,2020-08-21 21:46:17 +1000,manifests/restart.yaml,['2020-08-21 21:46:17: Run 258'],540,x,m,m,x,x,x,x,x,x,1671840,True
,259,1961-10-01T00:00:00,1962-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle2,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle2/output259,89.976,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle2/restart259,43.597,Andrew Kiss,2020-08-22T04:08:49,10333541,0,[],normal,29237.76,2.82,116077.08521739132,11.195706521739131,0.0016666666666669272,248685.02303603067,2.142412712813117,3696.6399999996647,5184,4358,799,0.098,1013.233915,2828.67,1002.16,"[80, 75]",sectrobin,40,30,540,80,2,3d8a99deb8d0219758f82a1d498f007dde1c6903,2020-08-22 01:20:07 +1000,manifests/restart.yaml,['2020-08-22 01:20:07: Run 259'],540,x,m,m,x,x,x,x,x,x,1678320,True
,260,1962-01-01T00:00:00,1962-04-01T00:00:00,"[0, 3, 0, 0]",90.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle2,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle2/output260,89.165,,,Andrew Kiss,2020-08-22T06:52:28,10335497,0,[],normal,28267.2,2.7263888888888888,114717.72,11.064594907407407,0.0011111111111112848,248730.63244729606,2.1681971403135982,3614.7199999997392,5184,4358,799,0.093,936.946408,2883.89,930.56,"[80, 75]",sectrobin,40,30,540,80,2,68498eb6110f4a940132aea34e6a43d86795765d,2020-08-22 04:09:16 +1000,manifests/restart.yaml,['2020-08-22 04:09:16: Run 260'],540,x,m,m,x,x,x,x,x,x,1684800,True
,261,1962-04-01T00:00:00,1962-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle2,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle2/output261,89.281,,,Andrew Kiss,2020-08-22T09:38:16,10336759,0,[],normal,28624.32,2.7608333333333333,114890.4712087912,11.081256868131867,0.0024999999999999467,248606.88057901085,2.1638598742206914,3665.9199999999255,5184,4358,799,0.093,948.169224,2798.68,934.26,"[80, 75]",sectrobin,40,30,540,80,2,0d190d5819886440da3235a73a574c474e641cf7,2020-08-22 06:53:04 +1000,manifests/restart.yaml,['2020-08-22 06:53:04: Run 261'],540,x,m,m,x,x,x,x,x,x,1691280,True
,262,1962-07-01T00:00:00,1962-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle2,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle2/output262,89.559,,,Andrew Kiss,2020-08-22T12:28:12,10338118,0,[],normal,29335.68,2.8294444444444444,116465.83826086958,11.233201992753624,0.002777777777777768,248587.95135347196,2.1344280440129113,3645.44000000041,5184,4358,799,0.093,972.991957,2798.77,959.99,"[80, 75]",sectrobin,40,30,540,80,2,8a438d2b6770330c50d9ff605db16667470f9854,2020-08-22 09:38:47 +1000,manifests/restart.yaml,['2020-08-22 09:38:47: Run 262'],540,x,m,m,x,x,x,x,x,x,1697760,True
,263,1962-10-01T00:00:00,1963-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle2,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle2/output263,90.048,/scratch/x77/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle2/restart263,43.601,Andrew Kiss,2020-08-22T15:17:17,10340093,0,[],normal,29188.8,2.8152777777777778,115882.70869565218,11.176958786231886,0.002777777777777768,248586.724494825,2.145158042065613,3665.9199999999255,5184,4358,799,0.095,983.380075,2860.52,974.04,"[80, 75]",sectrobin,40,30,540,80,2,50e8a5b08c5c3c23182c6dae645ec4587eb74f97,2020-08-22 12:28:46 +1000,manifests/restart.yaml,['2020-08-22 12:28:46: Run 263'],540,x,m,m,x,x,x,x,x,x,1704240,True
