,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,ice/cice_in.nml -> setup_nml -> istep0
,934,2004-07-01T00:00:00,2004-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle4_rerun_from_2002,/g/data/v45/aek156/outputs/access-om2-01/01deg_jra55v140_iaf_cycle4_rerun_from_2002/output934,16.302,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle4_rerun_from_2002/restart934,70.624,Andrew Kiss,2022-06-15T22:47:58,44143534,0,[],normal,42719.89,1.758888888888889,169602.60676630435,6.982980072463769,0.01749999999999985,577169.4286161064,3.4030693255286386,13107.200000000186,12144,10461,1682,0.064,401.247048,2106.8,440.95,"[150, 100]",sectrobin,18,15,540,80,2,41f75b76534832e91c1dffe6e95a104d4c395a36,2022-06-15 21:41:06 +1000,"manifests/restart.yaml, run_summary_home_156_aek156_payu_01deg_jra55v140_iaf_cycle4_rerun_from_2002.csv","['2022-06-15 21:03:22: Run 934', 'update run summary']",540,6052320
,935,2004-10-01T00:00:00,2005-01-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle4_rerun_from_2002,/g/data/v45/aek156/outputs/access-om2-01/01deg_jra55v140_iaf_cycle4_rerun_from_2002/output935,16.529,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle4_rerun_from_2002/restart935,70.689,Andrew Kiss,2022-06-16T00:34:42,44151597,0,[],normal,42524.24,1.7508333333333332,168825.855,6.9509986413043485,0.028055555555555722,573718.6658338538,3.398286748400319,13015.040000000037,12144,10461,1682,0.074,455.214621,1801.04,419.91,"[150, 100]",sectrobin,18,15,540,80,2,04b35bc131425bf17d2502e5e592acc84bc583ef,2022-06-15 23:25:22 +1000,"manifests/restart.yaml, run_summary_home_156_aek156_payu_01deg_jra55v140_iaf_cycle4_rerun_from_2002.csv","['2022-06-15 22:50:42: Run 935', 'update run summary']",540,6058800
,936,2005-01-01T00:00:00,2005-04-01T00:00:00,"[0, 3, 0, 0]",90.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle4_rerun_from_2002,/g/data/v45/aek156/outputs/access-om2-01/01deg_jra55v140_iaf_cycle4_rerun_from_2002/output936,16.513,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle4_rerun_from_2002/restart936,70.623,Andrew Kiss,2022-06-16T08:42:19,44195742,1,[44159370],normal,40183.15,1.6544444444444444,163076.61708333335,6.714287037037037,6.472499999999999,118666.44426974742,0.7276729576080672,13178.879999999888,12144,10461,1682,0.067,392.018432,1828.35,421.71,"[150, 100]",sectrobin,18,15,540,80,2,f8436537afdf5003112e56ccb1d917e170b54df8,2022-06-16 01:07:26 +1000,"manifests/restart.yaml, run_summary_home_156_aek156_payu_01deg_jra55v140_iaf_cycle4_rerun_from_2002.csv","['2022-06-16 00:40:18: Run 936', 'update run summary']",540,6065280
,937,2005-04-01T00:00:00,2005-07-01T00:00:00,"[0, 3, 0, 0]",91.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle4_rerun_from_2002,/g/data/v45/aek156/outputs/access-om2-01/01deg_jra55v140_iaf_cycle4_rerun_from_2002/output937,16.63,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle4_rerun_from_2002/restart937,70.614,Andrew Kiss,2022-06-16T10:29:32,44209080,0,[],normal,43165.17,1.7772222222222223,173253.60815934066,7.133301282051282,0.009722222222222188,579740.5080055961,3.3461958695394736,13117.44000000041,12144,10461,1682,0.104,652.17028,1693.59,590.86,"[150, 100]",sectrobin,18,15,540,80,2,9e4b5e2960f7537bda92306e72eab3f429f7824d,2022-06-16 09:18:20 +1000,"manifests/restart.yaml, run_summary_home_156_aek156_payu_01deg_jra55v140_iaf_cycle4_rerun_from_2002.csv","['2022-06-16 08:44:29: Run 937', 'update run summary']",540,6071760
,938,2005-07-01T00:00:00,2005-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle4_rerun_from_2002,/g/data/v45/aek156/outputs/access-om2-01/01deg_jra55v140_iaf_cycle4_rerun_from_2002/output938,16.28,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle4_rerun_from_2002/restart938,70.613,Andrew Kiss,2022-06-16T12:18:12,44221287,0,[],normal,43677.92,1.7983333333333333,173406.09,7.139578804347827,0.012777777777777777,578799.4306748466,3.337826432017737,13066.240000000224,12144,10461,1682,0.081,524.017794,2031.38,497.71,"[150, 100]",sectrobin,18,15,540,80,2,2f6254dc1b0753c207f0e620c7d0c847e8d8d700,2022-06-16 11:13:29 +1000,"manifests/restart.yaml, run_summary_home_156_aek156_payu_01deg_jra55v140_iaf_cycle4_rerun_from_2002.csv","['2022-06-16 10:31:06: Run 938', 'update run summary']",540,6078240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,ice/cice_in.nml -> setup_nml -> istep0
Total,13965,,,,1369.0,,,286.158,,1059.488,,,661380041,2,,,650695.7400000001,26.79083333333333,2603202.529776019,107.1806081094831,17.738055555555558,6693813.502420035,39.571059058916425,196894.71999999974,182160,156915,25230,1.1330000000000002,7173.9739500000005,29801.08,7025.419999999999,,,270,225,7920,1200,30,,,,,7920,90493200
Mean,931.0,,,0.75,91.26666666666667,,,19.0772,,70.63253333333334,,,44092002.733333334,0.13333333333333333,[2932057.46666667 2943958.        ],,43379.71600000001,1.7860555555555555,173546.83531840128,7.14537387396554,1.2670039682539684,478129.5358871454,2.8265042184940303,13126.314666666649,12144.0,10461.0,1682.0,0.07553333333333333,478.26493000000005,1986.7386666666669,468.3613333333333,125.0,,18.0,15.0,528.0,80.0,2.0,,,,,528.0,6032880.0
Median,931.0,,,0.0,91.0,,,16.709,,70.623,,,44108398.0,0.0,[],,42153.17,1.7355555555555555,167352.66676630435,6.890344202898551,0.022361111111111054,575722.0015492488,3.3722413089698966,13117.44000000041,12144.0,10461.0,1682.0,0.066,405.811705,1904.69,419.91,125.0,,18.0,15.0,540.0,80.0,2.0,,,,,540.0,6032880.0
Min,924,2002-01-01T00:00:00,2002-04-01T00:00:00,"[0, 3, 0, 0]",90.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle4_rerun_from_2002,/g/data/v45/aek156/outputs/access-om2-01/01deg_jra55v140_iaf_cycle4_rerun_from_2002/output924,16.28,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle4_rerun_from_2002/restart924,70.595,Andrew Kiss,2022-06-14T17:32:42,43916010,0,[],normal,40027.97,1.6480555555555556,161419.94967032966,6.646078296703296,0.004444444444444473,118666.44426974742,0.5465250712394687,13015.040000000037,12144,10461,1682,0.058,361.712409,1693.59,367.25,"[150, 100]",sectrobin,18,15,360,80,2,04b35bc131425bf17d2502e5e592acc84bc583ef,2022-06-14 15:20:16 +1000,,"['2022-06-14 21:05:10: Run 926', 'update run summary']",360,5987520
Max,938,2005-07-01T00:00:00,2005-10-01T00:00:00,"[0, 3, 0, 0]",92.0,/home/156/aek156/payu/01deg_jra55v140_iaf_cycle4_rerun_from_2002,/g/data/v45/aek156/outputs/access-om2-01/01deg_jra55v140_iaf_cycle4_rerun_from_2002/output938,53.191,/scratch/v45/aek156/access-om2/archive/01deg_jra55v140_iaf_cycle4_rerun_from_2002/restart938,70.707,Andrew Kiss,2022-06-16T12:18:12,44221287,1,[44159370],normal,62501.12,2.5733333333333333,248136.24000000002,10.216413043478262,8.48777777777778,581423.0344827586,3.566872912799906,13260.799999999814,12144,10461,1682,0.147,989.126044,2730.56,962.16,"[150, 100]",sectrobin,18,15,540,80,2,f8436537afdf5003112e56ccb1d917e170b54df8,2022-06-16 11:13:29 +1000,"manifests/restart.yaml, run_summary_home_156_aek156_payu_01deg_jra55v140_iaf_cycle4_rerun_from_2002.csv","['revert to timestep = 540s', 'update run summary', '2022-06-15 10:38:02: Run 928']",540,6078240
Std dev,4.320493798938574,,,1.299038105676658,0.7717224601860151,,,9.119739135158053,,0.033952646763133934,,,90489.06959809504,0.33993463423951903,,,5351.68167558049,0.22034261107453554,20745.337908370286,0.8541393488624006,2.6089173538968176,165974.72191026597,1.020059764928897,74.395007526595,0.0,0.0,0.0,0.022213709480608787,156.55093009744834,228.27652590273541,145.40382011793528,25.0,,0.0,0.0,44.8998886412873,0.0,0.0,,,,,44.8998886412873,27996.799817121955
SU correlation,-0.21574707888865707,,,,0.39508441100721825,,,-0.01894131443323445,,0.5685736509261916,,,-0.15388283641055145,0.5835768774350593,,,1.0,0.9999999999999037,0.9980678123786463,0.9980678148130706,,,,0.16880938263254985,nan,nan,nan,0.012548227833135046,0.3212967574561698,0.8697149764961598,0.3276865217805718,,,nan,nan,-0.9549166953385508,nan,nan,,,,,-0.9549166953385508,-0.21574707888865713
SU slope,-267.24021428571365,,,,2739.8010447760894,,,-11.11521764618799,,89619.67560606317,,,-0.00910089980438854,9187.40653846153,,,1.0,24288.00153307459,0.2574718833737768,6253.477541616276,,,,12.1434772269871,1.7860555006587613,2.0734019692190047,12.895278240190255,3023.0935096284165,10.983505292694767,20.38947142850592,12.060714447016627,,,1204.9921111111116,1445.9905333333338,-113.81788095238097,271.1232250000001,10844.928999999998,,,,,-113.81788095238097,-0.04124077380952303
Dimensionless SU slope,-5.735414208336435,,,,5.764272608113995,,,-0.0048881654753078025,,145.92222605993496,,,-9.250334858137204,0.028238717341107927,,,1.0,1.0000000938569933,1.030053551825638,1.0300536556600597,,,,3.6745077636961287,0.49999999999999983,0.5000000000000001,0.5000000000000001,0.0052638502695729885,0.1210940475028765,0.9338131969307486,0.13021690366431402,,,0.5000000000000001,0.5000000000000001,-1.3853442734124204,0.5000000000000001,0.49999999999999983,,,,,-1.3853442734124204,-5.73541420833634
